county_code,county,msa_code,msa,csa_code,csa_title,msa_name,states,types,first_town,state_abbr,msa_short
36065,"Oneida County, New York",C4654,"Utica-Rome, NY MSA",,,Utica-Rome,NY,MSA,Utica,NY,"Utica, NY"
36067,"Onondaga County, New York",C4506,"Syracuse, NY MSA",CS532,"Syracuse-Auburn, NY CSA",Syracuse,NY,MSA,Syracuse,NY,"Syracuse, NY"
36069,"Ontario County, New York",C4038,"Rochester, NY MSA",CS464,"Rochester-Batavia-Seneca Falls, NY CSA",Rochester,NY,MSA,Rochester,NY,"Rochester, NY"
36071,"Orange County, New York",C2888,"Kiryas Joel-Poughkeepsie-Newburgh, NY MSA",CS408,"New York-Newark, NY-NJ-CT-PA CSA",Kiryas Joel-Poughkeepsie-Newburgh,NY,MSA,Kiryas Joel,NY,"Kiryas Joel, NY"
36073,"Orleans County, New York",C4038,"Rochester, NY MSA",CS464,"Rochester-Batavia-Seneca Falls, NY CSA",Rochester,NY,MSA,Rochester,NY,"Rochester, NY"
36075,"Oswego County, New York",C4506,"Syracuse, NY MSA",CS532,"Syracuse-Auburn, NY CSA",Syracuse,NY,MSA,Syracuse,NY,"Syracuse, NY"
36079,"Putnam County, New York",C3562,"New York-Newark-Jersey City, NY-NJ MSA",CS408,"New York-Newark, NY-NJ-CT-PA CSA",New York-Newark-Jersey City,NY-NJ,MSA,New York,NY,"New York, NY"
36081,"Queens County, New York",C3562,"New York-Newark-Jersey City, NY-NJ MSA",CS408,"New York-Newark, NY-NJ-CT-PA CSA",New York-Newark-Jersey City,NY-NJ,MSA,New York,NY,"New York, NY"
36083,"Rensselaer County, New York",C1058,"Albany-Schenectady-Troy, NY MSA",CS104,"Albany-Schenectady, NY CSA",Albany-Schenectady-Troy,NY,MSA,Albany,NY,"Albany, NY"
36085,"Richmond County, New York",C3562,"New York-Newark-Jersey City, NY-NJ MSA",CS408,"New York-Newark, NY-NJ-CT-PA CSA",New York-Newark-Jersey City,NY-NJ,MSA,New York,NY,"New York, NY"
36087,"Rockland County, New York",C3562,"New York-Newark-Jersey City, NY-NJ MSA",CS408,"New York-Newark, NY-NJ-CT-PA CSA",New York-Newark-Jersey City,NY-NJ,MSA,New York,NY,"New York, NY"
36091,"Saratoga County, New York",C1058,"Albany-Schenectady-Troy, NY MSA",CS104,"Albany-Schenectady, NY CSA",Albany-Schenectady-Troy,NY,MSA,Albany,NY,"Albany, NY"
36093,"Schenectady County, New York",C1058,"Albany-Schenectady-Troy, NY MSA",CS104,"Albany-Schenectady, NY CSA",Albany-Schenectady-Troy,NY,MSA,Albany,NY,"Albany, NY"
36095,"Schoharie County, New York",C1058,"Albany-Schenectady-Troy, NY MSA",CS104,"Albany-Schenectady, NY CSA",Albany-Schenectady-Troy,NY,MSA,Albany,NY,"Albany, NY"
36103,"Suffolk County, New York",C3562,"New York-Newark-Jersey City, NY-NJ MSA",CS408,"New York-Newark, NY-NJ-CT-PA CSA",New York-Newark-Jersey City,NY-NJ,MSA,New York,NY,"New York, NY"
36107,"Tioga County, New York",C1378,"Binghamton, NY MSA",,,Binghamton,NY,MSA,Binghamton,NY,"Binghamton, NY"
36109,"Tompkins County, New York",C2706,"Ithaca, NY MSA",CS296,"Ithaca-Cortland, NY CSA",Ithaca,NY,MSA,Ithaca,NY,"Ithaca, NY"
36111,"Ulster County, New York",C2874,"Kingston, NY MSA",CS408,"New York-Newark, NY-NJ-CT-PA CSA",Kingston,NY,MSA,Kingston,NY,"Kingston, NY"
